id,shop_no,original_name,clean_name,district,excise_range,search_query,google_maps_url,address,latitude,longitude,rating,reviews_count,timings,phone_number,signature_dishes,vibe_summary,geocoded,menu_extracted,verified,website
1,1,Ambadi,Ambadi Toddy Shop,Thiruvananthapuram,Amaravila,"Ambadi Toddy Shop, Amaravila, Thiruvananthapuram, Kerala, India","https://www.google.com/maps/place/Ambadi+Hotel+and+Family+Restaurant/@8.6066129,76.9986811,17z/data=!4m10!1m2!2m1!1sAmbadi+Toddy+Shop,+Amaravila,+Thiruvananthapuram,+Kerala,+India!3m6!1s0x3b05b9ec10f71aed:0x33cc5c78b4107179!8m2!3d8.6066129!4d77.0031872!15sCj9BbWJhZGkgVG9kZHkgU2hvcCwgQW1hcmF2aWxhLCBUaGlydXZhbmFudGhhcHVyYW0sIEtlcmFsYSwgSW5kaWFaPSI7YW1iYWRpIHRvZGR5IHNob3AgYW1hcmF2aWxhIHRoaXJ1dmFuYW50aGFwdXJhbSBrZXJhbGEgaW5kaWGSAQpyZXN0YXVyYW504AEA!16s%2Fg%2F11fjtylyvz?entry=ttu&g_ep=EgoyMDI2MDUyNi4wIKXMDSoASAFQAw%3D%3D","Pazhavadi, Nedumangad, Kerala 695541",,,3.9,86.0,,,,,1,0,0,
2,2,Pasavoorkonam,Pasavoorkonam Toddy Shop,Thiruvananthapuram,Amaravila,"Pasavoorkonam Toddy Shop, Amaravila, Thiruvananthapuram, Kerala, India",,,,,,,,,,,1,0,0,
3,3,Udiyankulangara,Udiyankulangara Toddy Shop,Thiruvananthapuram,Amaravila,"Udiyankulangara Toddy Shop, Amaravila, Thiruvananthapuram, Kerala, India",,,,,,,,,,,1,0,0,
4,4,Kanjiramoottukadav,Kanjiramoottu Toddy Shop,Thiruvananthapuram,Amaravila,"Kanjiramoottukadav Toddy Shop, Amaravila, Thiruvananthapuram, Kerala, India","https://www.google.com/maps/place/Punchakkari+Toddy+shop/@8.4495021,75.8218269,9z/data=!4m10!1m2!2m1!1sKanjiramoottukadav+Toddy+Shop,+Amaravila,+Thiruvananthapuram,+Kerala,+India!3m6!1s0x3b05bb003a49c70d:0xaf331d04923b51f0!8m2!3d8.4495021!4d76.9753914!15sCktLYW5qaXJhbW9vdHR1a2FkYXYgVG9kZHkgU2hvcCwgQW1hcmF2aWxhLCBUaGlydXZhbmFudGhhcHVyYW0sIEtlcmFsYSwgSW5kaWFaSSJHa2FuamlyYW1vb3R0dWthZGF2IHRvZGR5IHNob3AgYW1hcmF2aWxhIHRoaXJ1dmFuYW50aGFwdXJhbSBrZXJhbGEgaW5kaWGSAQpyZXN0YXVyYW504AEA!16s%2Fg%2F11w1k09b98?entry=ttu&g_ep=EgoyMDI2MDUyNi4wIKXMDSoASAFQAw%3D%3D","CXXG+R49, Punchakkari, Thiruvananthapuram, Kerala 695002",,,3.9,405.0,,088483 24131,,,1,0,0,https://punchakkaritoddyshop.com/
5,5,Aryankode,Aryankode Toddy Shop,Thiruvananthapuram,Amaravila,"Aryankode Toddy Shop, Amaravila, Thiruvananthapuram, Kerala, India",,,,,,,,,,,1,0,0,
6,6,Vellarada,Vellarada,Thiruvananthapuram,Amaravila,"Vellarada Toddy Shop, Amaravila, Thiruvananthapuram, Kerala, India","https://www.google.com/maps/place/Nellimoodu+Toddy+Shop/@8.3790282,76.9003839,12z/data=!4m10!1m2!2m1!1sVellarada+Toddy+Shop,+Amaravila,+Thiruvananthapuram,+Kerala,+India!3m6!1s0x3b05af73dc3f04df:0x46ddb4d2ec9af109!8m2!3d8.3790282!4d77.0445795!15sCkJWZWxsYXJhZGEgVG9kZHkgU2hvcCwgQW1hcmF2aWxhLCBUaGlydXZhbmFudGhhcHVyYW0sIEtlcmFsYSwgSW5kaWFaQCI-dmVsbGFyYWRhIHRvZGR5IHNob3AgYW1hcmF2aWxhIHRoaXJ1dmFuYW50aGFwdXJhbSBrZXJhbGEgaW5kaWGSAQNiYXLgAQA!16s%2Fg%2F11h64qsgkh?entry=ttu&g_ep=EgoyMDI2MDUyNi4wIKXMDSoASAFQAw%3D%3D","92HV+JR8, Nellimoodu, Kerala 695524",,,4.1,325.0,,,,,0,0,0,
7,7,Amboori,Amboori,Thiruvananthapuram,Amaravila,"Amboori Toddy Shop, Amaravila, Thiruvananthapuram, Kerala, India","https://www.google.com/maps/place/Amboori,+Kerala+695505/@8.5019019,77.1546418,14z/data=!3m1!4b1!4m10!1m2!2m1!1sAmboori+Toddy+Shop,+Amaravila,+Thiruvananthapuram,+Kerala,+India!3m6!1s0x3b05b3327da2562d:0x8712d6f477354bdb!8m2!3d8.5041213!4d77.1916497!15sCkBBbWJvb3JpIFRvZGR5IFNob3AsIEFtYXJhdmlsYSwgVGhpcnV2YW5hbnRoYXB1cmFtLCBLZXJhbGEsIEluZGlhkgEIbG9jYWxpdHngAQA!16zL20vMDZ3dDBx?entry=ttu&g_ep=EgoyMDI2MDUyNi4wIKXMDSoASAFQAw%3D%3D",,,,,,,,,,0,0,0,
8,1,Neyyattinkara,Neyyattinkara,Thiruvananthapuram,Neyyattinkara,"Neyyattinkara Toddy Shop, Neyyattinkara, Thiruvananthapuram, Kerala, India","https://www.google.com/maps/place/Haritha+Restaurant+And+Toddy+Parlour/@8.3909375,77.0925564,17z/data=!4m10!1m2!2m1!1sNeyyattinkara+Toddy+Shop,+Neyyattinkara,+Thiruvananthapuram,+Kerala,+India!3m6!1s0x3b05af001c849d0d:0xabc48efe83e8605e!8m2!3d8.3909375!4d77.0970625!15sCkpOZXl5YXR0aW5rYXJhIFRvZGR5IFNob3AsIE5leXlhdHRpbmthcmEsIFRoaXJ1dmFuYW50aGFwdXJhbSwgS2VyYWxhLCBJbmRpYVpIIkZuZXl5YXR0aW5rYXJhIHRvZGR5IHNob3AgbmV5eWF0dGlua2FyYSB0aGlydXZhbmFudGhhcHVyYW0ga2VyYWxhIGluZGlhkgEKcmVzdGF1cmFudOABAA!16s%2Fg%2F11whyzqlln?entry=ttu&g_ep=EgoyMDI2MDUyNi4wIKXMDSoASAFQAw%3D%3D","Swadeshabhimani Nagar, Neyyattinkara, Kerala 695121",,,3.7,93.0,,,,,0,0,0,
9,2,Pozhikkara,Pozhikkara,Thiruvananthapuram,Neyyattinkara,"Pozhikkara Toddy Shop, Neyyattinkara, Thiruvananthapuram, Kerala, India","https://www.google.com/maps/place/Punchakkari+Toddy+shop/@8.4495021,76.8311958,12z/data=!4m10!1m2!2m1!1sPozhikkara+Toddy+Shop,+Neyyattinkara,+Thiruvananthapuram,+Kerala,+India!3m6!1s0x3b05bb003a49c70d:0xaf331d04923b51f0!8m2!3d8.4495021!4d76.9753914!15sCkdQb3poaWtrYXJhIFRvZGR5IFNob3AsIE5leXlhdHRpbmthcmEsIFRoaXJ1dmFuYW50aGFwdXJhbSwgS2VyYWxhLCBJbmRpYVpFIkNwb3poaWtrYXJhIHRvZGR5IHNob3AgbmV5eWF0dGlua2FyYSB0aGlydXZhbmFudGhhcHVyYW0ga2VyYWxhIGluZGlhkgEKcmVzdGF1cmFudOABAA!16s%2Fg%2F11w1k09b98?entry=ttu&g_ep=EgoyMDI2MDUyNi4wIKXMDSoASAFQAw%3D%3D","CXXG+R49, Punchakkari, Thiruvananthapuram, Kerala 695002",,,3.9,405.0,,,,,0,0,0,
10,3,Ayanimoodu,Ayanimoodu,Thiruvananthapuram,Neyyattinkara,"Ayanimoodu Toddy Shop, Neyyattinkara, Thiruvananthapuram, Kerala, India","https://www.google.com/maps/place/Nellimoodu+Toddy+Shop/@8.3790282,76.9724817,13z/data=!4m10!1m2!2m1!1sAyanimoodu+Toddy+Shop,+Neyyattinkara,+Thiruvananthapuram,+Kerala,+India!3m6!1s0x3b05af73dc3f04df:0x46ddb4d2ec9af109!8m2!3d8.3790282!4d77.0445795!15sCkdBeWFuaW1vb2R1IFRvZGR5IFNob3AsIE5leXlhdHRpbmthcmEsIFRoaXJ1dmFuYW50aGFwdXJhbSwgS2VyYWxhLCBJbmRpYVpFIkNheWFuaW1vb2R1IHRvZGR5IHNob3AgbmV5eWF0dGlua2FyYSB0aGlydXZhbmFudGhhcHVyYW0ga2VyYWxhIGluZGlhkgEDYmFy4AEA!16s%2Fg%2F11h64qsgkh?entry=ttu&g_ep=EgoyMDI2MDUyNi4wIKXMDSoASAFQAw%3D%3D","92HV+JR8, Nellimoodu, Kerala 695524",,,4.1,325.0,,,,,0,0,0,
